Name,File Path,Line,Parameters,Return Type,Exported,Complexity,Has JSDoc
exportCommand,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/commands/export.ts,35,"options: import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/commands/export"").ExportOptions",Promise<void>,Yes,7,Yes
getDefaultOutputPath,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/commands/export.ts,78,format: string,string,Yes,4,Yes
exportToJSON,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/commands/export.ts,94,"registry: import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/types/index"").Registry, includeDuplicates: boolean",string,Yes,2,Yes
exportToCSV,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/commands/export.ts,105,"functions: import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/types/index"").FunctionMetadata[]",string,Yes,3,Yes
escapeCSV,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/commands/export.ts,137,value: string,string,Yes,2,Yes
exportToMarkdown,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/commands/export.ts,147,"registry: import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/types/index"").Registry, includeDuplicates: boolean",string,Yes,14,Yes
reportCommand,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/commands/report.ts,28,"options: import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/commands/report"").ReportOptions",Promise<void>,Yes,4,Yes
generateHTML,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/commands/report.ts,57,registry: any,string,Yes,3,Yes
scanCommand,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/commands/scan.ts,29,"cliPaths: string[], cliOptions: import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/types/index"").ScanOptions",Promise<void>,Yes,8,Yes
searchCommand,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/commands/search.ts,28,"query: string, options: import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/types/index"").SearchOptions",Promise<void>,Yes,8,Yes
searchFunctions,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/commands/search.ts,71,"query: string, functions: import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/types/index"").FunctionMetadata[], limit: number","import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/types/index"").SearchResult[]",Yes,8,Yes
displayTable,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/commands/search.ts,127,"results: import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/types/index"").SearchResult[]",void,Yes,4,Yes
simplifyType,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/commands/search.ts,172,type: string,string,Yes,2,Yes
displayJSON,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/commands/search.ts,192,"results: import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/types/index"").SearchResult[]",void,Yes,1,Yes
displayMarkdown,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/commands/search.ts,199,"results: import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/types/index"").SearchResult[]",void,Yes,3,Yes
displayInteractive,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/commands/search.ts,221,"results: import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/types/index"").SearchResult[]",Promise<void>,Yes,2,Yes
statsCommand,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/commands/stats.ts,20,,Promise<void>,Yes,11,Yes
watchCommand,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/commands/watch.ts,27,"cliPaths: string[], options: import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/types/index"").ScanOptions",Promise<void>,Yes,4,Yes
loadCache,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/core/cache.ts,31,,"Promise<import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/core/cache"").Cache>",Yes,3,Yes
saveCache,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/core/cache.ts,53,"cache: import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/core/cache"").Cache",Promise<void>,Yes,2,Yes
isFileCached,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/core/cache.ts,71,"filePath: string, cache: import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/core/cache"").Cache",Promise<boolean>,Yes,3,Yes
getCachedFunctions,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/core/cache.ts,89,"filePath: string, cache: import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/core/cache"").Cache","import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/types/index"").FunctionMetadata[]",Yes,2,Yes
updateCacheEntry,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/core/cache.ts,100,"filePath: string, functions: import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/types/index"").FunctionMetadata[], cache: import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/core/cache"").Cache",Promise<void>,Yes,2,Yes
crawl,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/core/crawler.ts,50,"rootPaths: string[], options: { ignore?: string[]; includeTests?: boolean; }","Promise<import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/types/index"").CrawlResult>",Yes,5,Yes
validatePaths,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/core/crawler.ts,105,paths: string[],string[],Yes,1,Yes
extractMetadata,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/core/extractor.ts,26,"sourceFile: import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/node_modules/ts-morph/lib/ts-morph"").SourceFile","import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/types/index"").FunctionMetadata[]",Yes,6,Yes
extractFunctionMetadata,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/core/extractor.ts,61,"func: import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/node_modules/ts-morph/lib/ts-morph"").FunctionDeclaration, sourceFile: import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/node_modules/ts-morph/lib/ts-morph"").SourceFile","import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/types/index"").FunctionMetadata",Yes,2,Yes
isExported,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/core/extractor.ts,108,"func: import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/node_modules/ts-morph/lib/ts-morph"").FunctionDeclaration",boolean,Yes,1,Yes
extractParameters,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/core/extractor.ts,118,"func: import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/node_modules/ts-morph/lib/ts-morph"").FunctionDeclaration","import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/types/index"").Parameter[]",Yes,1,Yes
extractJSDoc,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/core/extractor.ts,140,"func: import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/node_modules/ts-morph/lib/ts-morph"").FunctionDeclaration",string,Yes,2,Yes
calculateComplexity,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/core/extractor.ts,158,"func: import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/node_modules/ts-morph/lib/ts-morph"").FunctionDeclaration",number,Yes,2,Yes
generateASTHash,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/core/extractor.ts,192,"func: import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/node_modules/ts-morph/lib/ts-morph"").FunctionDeclaration",string,Yes,1,Yes
normalizeAST,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/core/extractor.ts,206,"func: import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/node_modules/ts-morph/lib/ts-morph"").FunctionDeclaration",string,Yes,2,Yes
escapeRegex,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/core/extractor.ts,249,str: string,string,Yes,1,Yes
getProject,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/core/parser.ts,35,,"import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/node_modules/ts-morph/lib/ts-morph"").Project",Yes,2,Yes
parseFile,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/core/parser.ts,67,filePath: string,"Promise<import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/node_modules/ts-morph/lib/ts-morph"").SourceFile>",Yes,3,Yes
parseFiles,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/core/parser.ts,98,"filePaths: string[], useCache: boolean","Promise<import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/types/index"").ParseResult[]>",Yes,13,Yes
parseFilesInWorker,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/core/parser.ts,203,"filePaths: string[], progressBar: import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/node_modules/@types/cli-progress/index"").SingleBar, offset: number","Promise<{ functions: Map<string, import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/types/index"").FunctionMetadata[]>; errors: { filePath: string; error: string; }[]; }>",Yes,6,Yes
resetProject,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/core/parser.ts,263,,void,Yes,1,Yes
createRegistry,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/core/registry.ts,30,"functions: import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/types/index"").FunctionMetadata[], scannedPaths: string[], totalFiles: number","import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/types/index"").Registry",Yes,1,Yes
saveRegistry,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/core/registry.ts,59,"registry: import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/types/index"").Registry, outputPath: string",Promise<void>,Yes,4,Yes
loadRegistry,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/core/registry.ts,93,inputPath: string,"Promise<import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/types/index"").Registry>",Yes,4,Yes
detectDuplicates,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/core/registry.ts,122,"functions: import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/types/index"").FunctionMetadata[]","import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/types/index"").DuplicateGroup[]",Yes,4,Yes
findNearDuplicates,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/core/registry.ts,164,"functions: import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/types/index"").FunctionMetadata[]","import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/types/index"").DuplicateGroup[]",Yes,8,Yes
calculateSimilarity,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/core/registry.ts,220,"str1: string, str2: string",number,Yes,4,Yes
levenshteinDistance,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/core/registry.ts,237,"str1: string, str2: string",number,Yes,9,Yes
getRegistryPath,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/core/registry.ts,276,projectRoot: string,string,Yes,1,Yes
parseFilesInWorker,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/core/worker.ts,24,filePaths: string[],Promise<WorkerResult>,Yes,6,Yes
loadConfig,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/utils/config.ts,49,startDir: string,"Promise<import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/utils/config"").ConfigFile>",Yes,4,Yes
findConfigFile,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/utils/config.ts,76,startDir: string,string,Yes,4,Yes
mergeConfig,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/utils/config.ts,108,"config: import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/utils/config"").ConfigFile, options: import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/types/index"").ScanOptions","import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/types/index"").ScanOptions",Yes,2,Yes
getPathsFromConfig,/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/utils/config.ts,131,"config: import(""/Users/bernardwiesner/Documents/dev/personal/code-atlas/src/utils/config"").ConfigFile, cliPaths: string[]",string[],Yes,3,Yes